clustering,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,29,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,4,3,4,0,14,4,0,18,17,1
3,0,0,30,0,0,0,0,0,0,0,0,0,0
4,29,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,24,0,0,1
6,0,0,0,0,0,0,28,0,0,0,0,0,0
7,0,0,0,0,20,0,2,2,0,0,0,0,5
8,0,0,0,0,0,0,0,0,0,0,0,21,0
9,0,0,0,19,0,22,0,4,0,0,1,1,1
10,0,0,0,0,0,0,0,2,17,0,0,0,0
11,1,0,0,0,7,0,0,18,9,0,0,2,18
12,0,0,0,0,0,0,0,0,0,6,0,0,0
13,0,0,0,7,0,4,0,0,0,0,0,0,0
