特征类型,特征数量,均值_平均值,均值_最大值,均值_最小值,均值_标准差,标准差_平均值,标准差_最大值,标准差_最小值,四分位距_平均值
颜色特征,464,13.895418597220987,156.7277814843,-0.6788203634504998,33.17947895798712,8.555994954059535,72.91311994291607,0.0451030065641008,12.479305084519877
HOG特征,2048,0.010975116762462088,0.0249501277196534,0.004418967383731,0.003408345843086002,0.011047233317592584,0.027141001657883,0.0068454267264978,0.016777426497174824
LBP特征,944,0.01034482792964291,0.3040017666475,0.0004739466056374,0.02745091495601906,0.009371239372324688,0.2253560750912259,0.0008382076473495,0.012293452474128707
SIFT特征,2048,0.07240908511707005,0.1847049752,0.0344020622475,0.026584578399103855,0.03168848899438317,0.0867933455913243,0.0156932654595326,0.03776184362121582
