clustering,1,2,3,4,5,6,7
1,29,0,0,0,0,0,0
2,0,0,21,0,0,0,0
3,31,0,0,0,0,0,0
4,0,29,0,0,0,0,0
5,0,2,0,0,0,17,0
6,0,29,0,0,0,0,0
7,0,0,0,31,0,0,0
8,0,0,0,0,0,43,1
9,30,0,0,0,0,0,1
10,0,0,39,0,0,0,0
11,0,0,0,9,30,0,2
12,0,0,0,0,30,0,0
13,0,0,0,0,0,0,26
